fold,model,train_rows,test_rows,roc_auc,average_precision,accuracy,f1,fit_seconds,predict_seconds
1,catboost,159618,39905,0.9530992842409522,0.6854188407328612,0.9582257862423256,0.5931169148157188,63.823366147931665,0.4534584229113534
1,tabpfn_v2_5,50000,39905,0.9482931625719708,0.6506496359831614,0.9554441799273274,0.549645390070922,13.010626603034325,2014.2830357019557
1,tabicl,100000,39905,0.9484985865106541,0.649220357609811,0.9549429896003007,0.5466464952092789,6.040605603018776,502.5698207890382
2,catboost,159618,39905,0.9547630764754239,0.6836774861244185,0.9582007267259742,0.5885545140601874,71.77205342391971,0.358042779029347
2,tabpfn_v2_5,50000,39905,0.9498002602892858,0.6507314735074747,0.9552938228292194,0.5458248472505092,12.231923799030483,2005.3149050390348
2,tabicl,100000,39905,0.9509636027751132,0.652471612820645,0.9552437037965167,0.546239837398374,2.9657292030751705,502.0523132790113
3,catboost,159618,39905,0.9547318605726494,0.6886924997454361,0.9577245959152988,0.5823223570190641,120.53806073591113,0.35237883392255753
3,tabpfn_v2_5,50000,39905,0.9502702192650745,0.6535182639240755,0.9556195965417867,0.5474060822898033,11.32673758303281,2006.1280496580293
3,tabicl,100000,39905,0.9518134271441323,0.6554953689988731,0.9556947750908408,0.5485188968335035,3.7243921799818054,504.0439172380138
4,catboost,159619,39904,0.9543248724141629,0.6903970244722277,0.958876303127506,0.5900574569073195,73.3533446630463,0.5226300979265943
4,tabpfn_v2_5,50000,39904,0.9486782743492168,0.6565222633399981,0.9560194466720129,0.5501153550371699,14.449628410977311,2015.0082968099741
4,tabicl,100000,39904,0.9489505202708641,0.6514962777826746,0.9559192060946271,0.5527587083651156,2.9528147929813713,503.3239707449684
5,catboost,159619,39904,0.9571597715324786,0.697712269031211,0.9590266639935846,0.5921676228485907,67.5460310219787,0.4620724340202287
5,tabpfn_v2_5,50000,39904,0.9527868790792376,0.6641169928777911,0.956495589414595,0.5518843572534847,11.669561158982106,2009.2515312290052
5,tabicl,100000,39904,0.9529120143308432,0.6608095005367597,0.95596932638332,0.544936544936545,2.9388419869355857,502.831276088953
